term,df,months,recent_df,recency,score,topic1,topic2,words,lang
강조하고,27,12,24,0.889,14.625,frontier,agentic_ai,1,ko
실천,27,12,24,0.889,14.625,norms,guideline,1,ko
자문,31,12,25,0.806,14.625,law,cybersecurity,1,ko
제한하고,31,11,27,0.871,14.613,cybersecurity,law,1,ko
의무화,33,10,30,0.909,14.606,law,politics,1,ko
평가한,33,10,30,0.909,14.606,safety_research,frontier,1,ko
Development,33,10,30,0.909,14.606,frontier,cybersecurity,1,en
개방형,33,10,30,0.909,14.606,frontier,national_security,1,ko
본문 확인,44,8,41,0.932,14.599,frontier,cybersecurity,2,ko
건설,36,9,34,0.944,14.596,frontier,politics,1,ko
관측,36,9,34,0.944,14.596,safety_research,agentic_ai,1,ko
런타임,39,8,39,1.0,14.59,agentic_ai,safety_research,1,ko
보건,26,13,22,0.846,14.586,norms,youth,1,ko
무작위,26,13,22,0.846,14.586,frontier,safety_research,1,ko
단독,28,11,26,0.929,14.583,frontier,safety_research,1,ko
분쟁,28,11,26,0.929,14.583,law,frontier,1,ko
대응할,28,12,24,0.857,14.559,cybersecurity,frontier,1,ko
훈련 데이터,28,12,24,0.857,14.559,frontier,guideline,2,ko
촉진,32,11,27,0.844,14.553,law,norms,1,ko
단순히,32,11,27,0.844,14.553,frontier,safety_research,1,ko
인용,31,10,29,0.935,14.53,safety_research,healthcare,1,ko
갖춘,31,10,29,0.935,14.53,frontier,agentic_ai,1,ko
harmful,31,10,29,0.935,14.53,safety_research,frontier,1,en
컴퓨팅 자원,31,10,29,0.935,14.53,frontier,sovereign_ai,2,ko
맞는,33,12,25,0.758,14.527,norms,youth,1,ko
지속가능성,27,13,22,0.815,14.526,norms,standards,1,ko
기한,27,13,22,0.815,14.526,law,guideline,1,ko
제시했,27,13,22,0.815,14.526,cybersecurity,law,1,ko
데이터 거버넌스,29,11,26,0.897,14.514,law,guideline,2,ko
RL,29,11,26,0.897,14.514,safety_research,frontier,1,en
체계 구축,29,11,26,0.897,14.514,cybersecurity,norms,2,ko
Infrastructure,29,11,26,0.897,14.514,frontier,cybersecurity,1,en
강도,29,11,26,0.897,14.514,safety_research,frontier,1,ko
간단한,25,18,16,0.64,14.505,frontier,safety_research,1,ko
컴플라이언스,29,12,24,0.828,14.5,agentic_ai,guideline,1,ko
응용,29,12,24,0.828,14.5,norms,cybersecurity,1,ko
프리뷰,26,11,25,0.962,14.49,frontier,cybersecurity,1,ko
미칠 영향,26,11,25,0.962,14.49,agentic_ai,norms,2,ko
Tasks,28,13,22,0.786,14.472,agentic_ai,frontier,1,en
구성하고,32,10,29,0.906,14.463,safety_research,agentic_ai,1,ko
적응형,32,10,29,0.906,14.463,safety_research,agentic_ai,1,ko
낮추,32,10,29,0.906,14.463,safety_research,frontier,1,ko
강제,29,10,28,0.966,14.455,frontier,guideline,1,ko
주간,29,10,28,0.966,14.455,frontier,safety_research,1,ko
잠재력,35,12,25,0.714,14.444,law,frontier,1,ko
법을,24,13,21,0.875,14.441,law,deepfake_disinfo,1,ko
직원들,26,12,23,0.885,14.436,frontier,law,1,ko
세계적,26,12,23,0.885,14.436,norms,law,1,ko
article,39,8,38,0.974,14.423,law,frontier,1,en
구축할,29,13,22,0.759,14.423,agentic_ai,cybersecurity,1,ko
보안 취약점,33,9,32,0.97,14.419,cybersecurity,frontier,2,ko
소장,39,9,34,0.872,14.418,law,frontier,1,ko
도입하고,27,11,25,0.926,14.414,agentic_ai,safety_research,1,ko
완전,27,11,25,0.926,14.414,national_security,agentic_ai,1,ko
비동,27,11,25,0.926,14.414,law,youth,1,ko
성향,27,11,25,0.926,14.414,safety_research,national_security,1,ko
evaluations,33,18,16,0.485,14.411,cybersecurity,frontier,1,en
실효성,31,12,24,0.774,14.395,law,norms,1,ko
장비,30,10,28,0.933,14.383,frontier,agentic_ai,1,ko
주석,30,10,28,0.933,14.383,safety_research,cybersecurity,1,ko
탈취,30,10,28,0.933,14.383,cybersecurity,agentic_ai,1,ko
반영,30,10,28,0.933,14.383,frontier,standards,1,ko
양측,30,10,28,0.933,14.383,frontier,law,1,ko
지점,25,13,21,0.84,14.376,safety_research,agentic_ai,1,ko
의지,25,13,21,0.84,14.376,norms,frontier,1,ko
메타데이터,27,12,23,0.852,14.372,deepfake_disinfo,guideline,1,ko
대응하,31,9,31,1.0,14.364,cybersecurity,safety_research,1,ko
문서화,36,11,27,0.75,14.356,guideline,law,1,ko
Trust,34,9,32,0.941,14.35,agentic_ai,norms,1,en
평가 체계,34,9,32,0.941,14.35,safety_research,cybersecurity,2,ko
장관,32,12,24,0.75,14.349,frontier,national_security,1,ko
Accountability,28,11,25,0.893,14.344,law,guideline,1,en
만으,28,11,25,0.893,14.344,safety_research,frontier,1,ko
거래,28,11,25,0.893,14.344,frontier,law,1,ko
불평등,28,11,25,0.893,14.344,law,norms,1,ko
image,28,11,25,0.893,14.344,frontier,open_weight,1,en
따라서,28,11,25,0.893,14.344,safety_research,guideline,1,ko
형성,34,10,29,0.853,14.343,law,safety_research,1,ko
보완,32,11,26,0.812,14.336,frontier,law,1,ko
사무소,32,11,26,0.812,14.336,frontier,law,1,ko
민주적,26,13,21,0.808,14.318,national_security,law,1,ko
협약,31,10,28,0.903,14.315,law,national_security,1,ko
논쟁,31,10,28,0.903,14.315,law,frontier,1,ko
기술 개발,28,12,23,0.821,14.313,law,norms,2,ko
White House,28,12,23,0.821,14.313,frontier,national_security,2,en
인센티브,28,12,23,0.821,14.313,safety_research,law,1,ko
체인,28,12,23,0.821,14.313,cybersecurity,frontier,1,ko
복지,28,12,23,0.821,14.313,youth,norms,1,ko
Support,28,12,23,0.821,14.313,law,cybersecurity,1,en
일반적인,28,12,23,0.821,14.313,safety_research,frontier,1,ko
차례,28,10,27,0.964,14.303,cybersecurity,frontier,1,ko
매핑,28,10,27,0.964,14.303,cybersecurity,safety_research,1,ko
년에,35,10,29,0.829,14.289,law,norms,1,ko
데이터 보호,35,9,32,0.914,14.287,law,youth,2,ko
Llama,33,11,26,0.788,14.286,frontier,safety_research,1,en
Advanced,29,11,25,0.862,14.28,cybersecurity,frontier,1,en
다루기,27,13,21,0.778,14.266,cybersecurity,safety_research,1,ko
innovation,30,14,20,0.667,14.259,national_security,guideline,1,en
Regulatory,25,12,22,0.88,14.24,law,guideline,1,en
부족한,25,12,22,0.88,14.24,law,frontier,1,ko
개선하,25,12,22,0.88,14.24,safety_research,law,1,ko
완화하,26,11,24,0.923,14.238,safety_research,healthcare,1,ko
의혹,24,14,19,0.792,14.238,law,frontier,1,ko
증가했,26,11,24,0.923,14.238,cybersecurity,frontier,1,ko
일환,26,11,24,0.923,14.238,frontier,norms,1,ko
노동 시장,24,14,19,0.792,14.238,frontier,law,2,ko
에이전트들,29,10,27,0.931,14.23,agentic_ai,frontier,1,ko
reinforcement learning,29,10,27,0.931,14.23,safety_research,physical_ai,2,en
로컬,36,9,32,0.889,14.227,safety_research,agentic_ai,1,ko
사이버 위협,33,9,31,0.939,14.222,cybersecurity,frontier,2,ko
특화된,23,13,20,0.87,14.222,frontier,cybersecurity,1,ko
검증된,33,9,31,0.939,14.222,frontier,safety_research,1,ko
구성되,30,11,25,0.833,14.222,law,norms,1,ko
확충,30,11,25,0.833,14.222,cybersecurity,law,1,ko
깊이,28,13,21,0.75,14.218,safety_research,frontier,1,ko
내에,28,13,21,0.75,14.218,cybersecurity,guideline,1,ko
측정하,25,14,19,0.76,14.188,frontier,cybersecurity,1,ko
한국지능정보사회진흥원,29,13,21,0.724,14.176,guideline,norms,1,ko
개발사,26,12,22,0.846,14.176,frontier,cybersecurity,1,ko
확인하,26,12,22,0.846,14.176,safety_research,youth,1,ko
악용될,26,12,22,0.846,14.176,cybersecurity,frontier,1,ko
모델 안전,26,12,22,0.846,14.176,safety_research,cybersecurity,2,ko
Distillation,35,8,35,1.0,14.173,frontier,safety_research,1,en
아우르,27,11,24,0.889,14.168,cybersecurity,deepfake_disinfo,1,ko
연간,27,11,24,0.889,14.168,frontier,law,1,ko
전통적,27,11,24,0.889,14.168,safety_research,agentic_ai,1,ko
상호운용성,30,10,27,0.9,14.163,standards,norms,1,ko
deepfake,30,10,27,0.9,14.163,deepfake_disinfo,law,1,en
자연어,30,10,27,0.9,14.163,safety_research,guideline,1,ko
직접적인,30,10,27,0.9,14.163,guideline,safety_research,1,ko
스킬,31,9,30,0.968,14.158,cybersecurity,agentic_ai,1,ko
데이터 활용,24,13,20,0.833,14.158,law,cybersecurity,2,ko
브라우저,27,10,26,0.963,14.146,cybersecurity,agentic_ai,1,ko
속에서,32,11,25,0.781,14.119,law,national_security,1,ko
초지능,23,12,21,0.913,14.106,agentic_ai,law,1,ko
공개되지,23,12,21,0.913,14.106,agentic_ai,frontier,1,ko
통제 상실,23,12,21,0.913,14.106,frontier,safety_research,2,ko
고도화된,23,12,21,0.913,14.106,cybersecurity,frontier,1,ko
문장,28,11,24,0.857,14.105,safety_research,healthcare,1,ko
위치,36,8,35,0.972,14.105,frontier,open_weight,1,ko
설치,28,11,24,0.857,14.105,law,cybersecurity,1,ko
B active,28,11,24,0.857,14.105,frontier,open_weight,2,en
자국,25,13,20,0.8,14.101,sovereign_ai,national_security,1,ko
안전 관련,35,9,31,0.886,14.098,frontier,safety_research,2,ko
Design,32,9,30,0.938,14.089,youth,cybersecurity,1,en
정답,32,9,30,0.938,14.089,frontier,safety_research,1,ko
모듈,32,9,30,0.938,14.089,safety_research,healthcare,1,ko
진화,32,9,30,0.938,14.089,agentic_ai,safety_research,1,ko
혐의,42,7,42,1.0,14.078,deepfake_disinfo,law,1,ko
발생한,28,10,26,0.929,14.073,frontier,cybersecurity,1,ko
충돌,28,10,26,0.929,14.073,national_security,law,1,ko
Code of Practice,34,12,23,0.676,14.054,guideline,law,3,en
민관,22,14,18,0.818,14.049,cybersecurity,norms,1,ko
개월간,29,11,24,0.828,14.047,cybersecurity,frontier,1,ko
여성,29,11,24,0.828,14.047,law,deepfake_disinfo,1,ko
Assessment,37,8,35,0.946,14.041,law,safety_research,1,en
하에,37,8,35,0.946,14.041,agentic_ai,law,1,ko
엔지니어,24,12,21,0.875,14.036,agentic_ai,frontier,1,ko
충격,24,12,21,0.875,14.036,youth,law,1,ko
없으,24,12,21,0.875,14.036,law,guideline,1,ko
없어 구체적인,33,9,30,0.909,14.025,frontier,agentic_ai,2,ko
foundation,30,9,29,0.967,14.022,frontier,safety_research,1,en
정서적,29,10,26,0.897,14.005,youth,frontier,1,ko
충분한,29,10,26,0.897,14.005,law,frontier,1,ko
다섯 가지,29,10,26,0.897,14.005,safety_research,frontier,2,ko
정리한,29,10,26,0.897,14.005,agentic_ai,cybersecurity,1,ko
지수,27,13,20,0.741,14.005,frontier,law,1,ko
안전 조치,23,14,18,0.783,13.995,frontier,cybersecurity,2,ko
오히려,26,11,23,0.885,13.986,frontier,safety_research,1,ko
패러다임,26,11,23,0.885,13.986,safety_research,agentic_ai,1,ko
예상,26,11,23,0.885,13.986,law,agentic_ai,1,ko
기업용,26,11,23,0.885,13.986,agentic_ai,frontier,1,ko
워크플로우,26,11,23,0.885,13.986,agentic_ai,cybersecurity,1,ko
분기,26,10,25,0.962,13.982,frontier,safety_research,1,ko
Verification,26,10,25,0.962,13.982,youth,cybersecurity,1,en
받은,26,10,25,0.962,13.982,frontier,law,1,ko
Skills,26,10,25,0.962,13.982,cybersecurity,guideline,1,en
CoT,30,12,22,0.733,13.975,frontier,safety_research,1,en
모델 안전성,30,12,22,0.733,13.975,safety_research,frontier,2,ko
대한민국,25,12,21,0.84,13.973,norms,law,1,ko
Threat,25,12,21,0.84,13.973,cybersecurity,law,1,en
항상,25,12,21,0.84,13.973,safety_research,frontier,1,ko
체계적인,25,12,21,0.84,13.973,cybersecurity,safety_research,1,ko
미스트랄,25,12,21,0.84,13.973,open_weight,agentic_ai,1,ko
소규모,34,9,30,0.882,13.965,frontier,cybersecurity,1,ko
Chinese,31,9,29,0.935,13.952,frontier,national_security,1,en
평가 기준,33,8,33,1.0,13.947,frontier,safety_research,2,ko
숨겨진,29,13,20,0.69,13.928,cybersecurity,safety_research,1,ko
시설,27,11,23,0.852,13.923,national_security,cybersecurity,1,ko
weights,27,11,23,0.852,13.923,frontier,open_weight,1,en
만큼,27,11,23,0.852,13.923,law,agentic_ai,1,ko
하는지,27,11,23,0.852,13.923,safety_research,frontier,1,ko
안전하고 신뢰할,26,15,17,0.654,13.918,norms,guideline,2,ko
AIME,27,16,16,0.593,13.917,frontier,open_weight,1,en
생각,26,12,21,0.808,13.916,frontier,healthcare,1,ko
비교해,27,10,25,0.926,13.909,frontier,law,1,ko
기준선,27,10,25,0.926,13.909,safety_research,open_weight,1,ko
일상,27,10,25,0.926,13.909,frontier,law,1,ko
넓은,27,10,25,0.926,13.909,frontier,safety_research,1,ko
international,30,13,20,0.667,13.896,guideline,norms,1,en
측은,35,10,27,0.771,13.896,law,frontier,1,ko
Gemini API,24,10,24,1.0,13.893,frontier,deepfake_disinfo,2,en
인공지능 기술,25,18,14,0.56,13.891,law,frontier,2,ko
Social,32,9,29,0.906,13.888,youth,law,1,en
유발하,32,9,29,0.906,13.888,safety_research,cybersecurity,1,ko
동의 없이,31,10,26,0.839,13.887,law,deepfake_disinfo,2,ko
GDPR,29,9,28,0.966,13.881,law,guideline,1,en
만에,34,8,33,0.971,13.878,safety_research,law,1,ko
토론,24,13,19,0.792,13.875,deepfake_disinfo,agentic_ai,1,ko
구분,28,11,23,0.821,13.866,frontier,agentic_ai,1,ko
통계적,27,12,21,0.778,13.865,safety_research,law,1,ko
의견 수렴,24,11,22,0.917,13.864,law,norms,2,ko
의사,24,11,22,0.917,13.864,healthcare,deepfake_disinfo,1,ko
허브,24,11,22,0.917,13.864,frontier,norms,1,ko
유통,24,11,22,0.917,13.864,deepfake_disinfo,politics,1,ko
다룬,36,10,27,0.75,13.854,law,agentic_ai,1,ko
Automated,28,10,25,0.893,13.842,frontier,safety_research,1,en
주장하,28,10,25,0.893,13.842,law,frontier,1,ko
제공하지,28,10,25,0.893,13.842,law,cybersecurity,1,ko
상용,32,8,32,1.0,13.829,frontier,safety_research,1,ko
finds,33,9,29,0.879,13.828,frontier,cybersecurity,1,en
개가,35,8,33,0.943,13.813,frontier,cybersecurity,1,ko
병렬,25,10,24,0.96,13.813,safety_research,frontier,1,ko
defense,30,9,28,0.933,13.811,safety_research,frontier,1,en
call,30,9,28,0.933,13.811,law,frontier,1,en
independent,30,9,28,0.933,13.811,frontier,law,1,en
고품질,25,11,22,0.88,13.796,safety_research,frontier,1,ko
Risk Management,25,11,22,0.88,13.796,standards,guideline,2,en
약화,25,11,22,0.88,13.796,law,safety_research,1,ko
교란,25,11,22,0.88,13.796,safety_research,cybersecurity,1,ko
신뢰 기반,21,14,17,0.81,13.792,cybersecurity,norms,2,ko
하원,29,10,25,0.862,13.78,law,frontier,1,ko
민감정보,24,12,20,0.833,13.76,safety_research,agentic_ai,1,ko
판매,24,12,20,0.833,13.76,law,frontier,1,ko
제고,22,15,16,0.727,13.751,law,cybersecurity,1,ko
Thinking,21,13,18,0.857,13.751,frontier,open_weight,1,en
service,22,11,21,0.955,13.741,law,agentic_ai,1,en
인구,22,11,21,0.955,13.741,frontier,norms,1,ko
스택,22,11,21,0.955,13.741,cybersecurity,sovereign_ai,1,ko
IEC,26,10,24,0.923,13.739,standards,guideline,1,en
판결,26,10,24,0.923,13.739,law,youth,1,ko
사이트,28,9,27,0.964,13.735,frontier,cybersecurity,1,ko
Qwen3,28,9,27,0.964,13.735,frontier,safety_research,1,en
전달,28,9,27,0.964,13.735,cybersecurity,safety_research,1,ko
인간 통제,26,11,22,0.846,13.734,agentic_ai,frontier,2,ko
세트,26,11,22,0.846,13.734,safety_research,frontier,1,ko
간소화,26,11,22,0.846,13.734,law,guideline,1,ko
앤스로픽,38,7,38,1.0,13.713,frontier,cybersecurity,1,ko
존재하지,28,13,19,0.679,13.711,law,frontier,1,ko
장기적인,25,12,20,0.8,13.705,cybersecurity,frontier,1,ko
개발하,25,12,20,0.8,13.705,frontier,guideline,1,ko
안전 연구,25,12,20,0.8,13.705,frontier,safety_research,2,ko
만들기,25,12,20,0.8,13.705,frontier,norms,1,ko
베타,23,14,17,0.739,13.695,frontier,agentic_ai,1,ko
부재,41,7,39,0.951,13.687,law,safety_research,1,ko
필요할,27,10,24,0.889,13.672,safety_research,guideline,1,ko
있으므,27,10,24,0.889,13.672,safety_research,frontier,1,ko
기구,27,10,24,0.889,13.672,law,guideline,1,ko
시기,21,12,19,0.905,13.667,safety_research,cybersecurity,1,ko
발표했,23,11,21,0.913,13.666,norms,law,1,ko
주기,29,9,27,0.931,13.665,guideline,law,1,ko
원고,29,9,27,0.931,13.665,law,frontier,1,ko
세부 내용,29,9,27,0.931,13.665,frontier,law,2,ko
무해한,25,15,16,0.64,13.658,safety_research,frontier,1,ko
해석 가능성,33,23,9,0.273,13.652,safety_research,agentic_ai,2,ko
처럼,33,11,23,0.697,13.649,safety_research,frontier,1,ko
국가 차원,23,13,18,0.783,13.638,law,cybersecurity,2,ko
정교한,23,13,18,0.783,13.638,cybersecurity,frontier,1,ko
촉진하,23,13,18,0.783,13.638,norms,guideline,1,ko
포인트,32,8,31,0.969,13.637,safety_research,frontier,1,ko
안정적,32,8,31,0.969,13.637,safety_research,agentic_ai,1,ko
단체,24,10,23,0.958,13.636,frontier,youth,1,ko
백도어,24,10,23,0.958,13.636,cybersecurity,safety_research,1,ko
refused,35,8,32,0.914,13.633,safety_research,frontier,1,en
MATH,29,17,14,0.483,13.627,frontier,open_weight,1,en
조기,27,12,20,0.741,13.612,frontier,agentic_ai,1,ko
생성형 인공지능,27,12,20,0.741,13.612,cybersecurity,law,2,ko
허가 없이,30,9,27,0.9,13.6,law,frontier,2,ko
Generation,30,9,27,0.9,13.6,open_weight,safety_research,1,en
널리,30,9,27,0.9,13.6,safety_research,frontier,1,ko
vision,22,12,19,0.864,13.599,frontier,open_weight,1,en
구속력,28,12,20,0.714,13.572,norms,law,1,ko
Economy,33,8,31,0.939,13.571,cybersecurity,frontier,1,en
정상,25,10,23,0.92,13.563,cybersecurity,agentic_ai,1,ko
Scale,25,10,23,0.92,13.563,agentic_ai,safety_research,1,en
아시아,25,10,23,0.92,13.563,frontier,norms,1,ko
중앙,25,10,23,0.92,13.563,norms,law,1,ko
받고,25,10,23,0.92,13.563,law,guideline,1,ko
M tokens,25,10,23,0.92,13.563,frontier,open_weight,2,en
부적절한,29,10,24,0.828,13.555,youth,guideline,1,ko
반응,29,10,24,0.828,13.555,frontier,agentic_ai,1,ko
연구 모델,25,13,18,0.72,13.551,frontier,safety_research,2,ko
수출 통제,25,13,18,0.72,13.551,frontier,national_security,2,ko
Cost,23,12,19,0.826,13.539,frontier,safety_research,1,en
GPT-4o,23,12,19,0.826,13.539,frontier,safety_research,1,en
용량,25,11,21,0.84,13.537,frontier,safety_research,1,ko
일치,25,11,21,0.84,13.537,safety_research,norms,1,ko
Act Newsletter,21,11,20,0.952,13.533,law,guideline,2,en
국내외,29,14,17,0.586,13.53,standards,agentic_ai,1,ko
성별,26,13,18,0.692,13.515,law,norms,1,ko
보증,28,9,26,0.929,13.513,law,guideline,1,ko
아래,28,9,26,0.929,13.513,safety_research,law,1,ko
프로필,28,9,26,0.929,13.513,law,agentic_ai,1,ko
robustness,31,8,30,0.968,13.51,safety_research,agentic_ai,1,en
의미적,31,8,30,0.968,13.51,safety_research,agentic_ai,1,ko
적용될,20,15,15,0.75,13.506,law,guideline,1,ko
코딩 에이전트,25,9,25,1.0,13.504,cybersecurity,frontier,2,ko
다르게,26,10,23,0.885,13.496,frontier,open_weight,1,ko
온라인 플랫폼,26,10,23,0.885,13.496,youth,deepfake_disinfo,2,ko
구간,26,10,23,0.885,13.496,safety_research,cybersecurity,1,ko
분류하고,26,10,23,0.885,13.496,cybersecurity,safety_research,1,ko
루프,26,10,23,0.885,13.496,agentic_ai,cybersecurity,1,ko
정량,46,6,46,1.0,13.486,safety_research,agentic_ai,1,ko
상무부,26,11,21,0.808,13.482,frontier,national_security,1,ko
담고,26,11,21,0.808,13.482,law,frontier,1,ko
부작용,26,11,21,0.808,13.482,guideline,frontier,1,ko
High,26,11,21,0.808,13.482,frontier,cybersecurity,1,en
평가해,22,11,20,0.909,13.458,safety_research,cybersecurity,1,ko
사전학습,22,11,20,0.909,13.458,safety_research,standards,1,ko
소버린,23,10,22,0.957,13.452,sovereign_ai,national_security,1,ko
필수,23,10,22,0.957,13.452,law,frontier,1,ko
논의하,21,13,17,0.81,13.44,law,youth,1,ko
수사,27,10,23,0.852,13.436,deepfake_disinfo,cybersecurity,1,ko
현대,27,10,23,0.852,13.436,safety_research,frontier,1,ko
정비,20,12,18,0.9,13.432,law,cybersecurity,1,ko
Work,27,11,21,0.778,13.432,agentic_ai,frontier,1,en
가능하고,26,9,25,0.962,13.427,agentic_ai,cybersecurity,1,ko
Inc,35,7,35,1.0,13.413,law,frontier,1,en
정확하게,30,13,18,0.6,13.412,frontier,safety_research,1,ko
에이전트 시스템,22,16,14,0.636,13.406,agentic_ai,safety_research,2,ko
강건성,38,7,36,0.947,13.392,safety_research,cybersecurity,1,ko
Gemma,23,11,20,0.87,13.391,frontier,safety_research,1,en
신기술,22,13,17,0.773,13.39,norms,law,1,ko
진행할,22,13,17,0.773,13.39,frontier,cybersecurity,1,ko
절반,28,10,23,0.821,13.38,cybersecurity,frontier,1,ko
마이크로소프트,30,8,29,0.967,13.38,frontier,cybersecurity,1,ko
Sovereign,24,10,22,0.917,13.379,sovereign_ai,cybersecurity,1,en
공정,24,10,22,0.917,13.379,law,frontier,1,ko
시리즈,24,10,22,0.917,13.379,frontier,safety_research,1,ko
향상된,25,15,15,0.6,13.369,frontier,cybersecurity,1,ko
발표하고,24,14,16,0.667,13.366,law,national_security,1,ko
적용하,21,12,18,0.857,13.365,frontier,safety_research,1,ko
비용 절감,21,12,18,0.857,13.365,frontier,deepfake_disinfo,2,ko
위를,21,12,18,0.857,13.365,frontier,agentic_ai,1,ko
위험 기반,21,12,18,0.857,13.365,law,norms,2,ko
구성해,27,9,25,0.926,13.356,safety_research,cybersecurity,1,ko
Beyond,27,9,25,0.926,13.356,safety_research,guideline,1,en
받아,27,9,25,0.926,13.356,cybersecurity,safety_research,1,ko
브라질,27,9,25,0.926,13.356,law,youth,1,ko
공개적,23,13,17,0.739,13.346,frontier,national_security,1,ko
개발 과정,27,15,15,0.556,13.345,frontier,cybersecurity,2,ko
시범,24,9,24,1.0,13.341,agentic_ai,frontier,1,ko
규제 샌드박스,25,14,16,0.64,13.341,law,guideline,2,ko
활용 사례,24,11,20,0.833,13.331,guideline,cybersecurity,2,ko
Video,29,10,23,0.793,13.33,frontier,open_weight,1,en
취약점 탐지,28,8,28,1.0,13.318,cybersecurity,frontier,2,ko
Codex,28,8,28,1.0,13.318,frontier,cybersecurity,1,en
재구성,28,8,28,1.0,13.318,safety_research,agentic_ai,1,ko
레드팀,28,8,28,1.0,13.318,safety_research,cybersecurity,1,ko
원래,20,11,19,0.95,13.315,safety_research,agentic_ai,1,ko
에는,31,8,29,0.935,13.314,frontier,safety_research,1,ko
부모,25,10,22,0.88,13.313,youth,law,1,ko
압력,25,10,22,0.88,13.313,safety_research,frontier,1,ko
optimization,34,7,34,1.0,13.308,safety_research,agentic_ai,1,en
Building,22,12,18,0.818,13.306,frontier,agentic_ai,1,en
팀을,22,12,18,0.818,13.306,cybersecurity,safety_research,1,ko
데이터 접근,28,9,25,0.893,13.292,safety_research,agentic_ai,2,ko
소셜,32,9,26,0.812,13.284,youth,law,1,ko
참여하,25,11,20,0.8,13.278,norms,healthcare,1,ko
스마트,25,9,24,0.96,13.264,norms,law,1,ko
누적,25,9,24,0.96,13.264,safety_research,frontier,1,ko
세미나,25,9,24,0.96,13.264,law,physical_ai,1,ko
Company,22,10,21,0.955,13.26,frontier,law,1,en
오작동,18,12,17,0.944,13.259,incidents,cybersecurity,1,ko
추진하,23,12,18,0.783,13.255,national_security,law,1,ko
설명하,23,12,18,0.783,13.255,guideline,law,1,ko
Draft,23,12,18,0.783,13.255,guideline,law,1,en
개인정보보호위원회,26,10,22,0.846,13.253,law,cybersecurity,1,ko
MLex,32,8,29,0.906,13.253,law,frontier,1,en
adaptive,29,8,28,0.966,13.246,safety_research,frontier,1,en
multi-agent,29,8,28,0.966,13.246,agentic_ai,safety_research,1,en
text,29,8,28,0.966,13.246,frontier,deepfake_disinfo,1,en
활성,29,8,28,0.966,13.246,safety_research,frontier,1,ko
세대,21,11,19,0.905,13.24,frontier,cybersecurity,1,ko
인간 중심,21,11,19,0.905,13.24,norms,agentic_ai,2,ko
보안 강화,29,9,25,0.862,13.233,cybersecurity,frontier,2,ko
Music,29,9,25,0.862,13.233,law,frontier,1,en
공개한,29,9,25,0.862,13.233,frontier,safety_research,1,ko
견해,19,15,14,0.737,13.202,frontier,safety_research,1,ko
등급,27,10,22,0.815,13.199,frontier,cybersecurity,1,ko
Million,27,10,22,0.815,13.199,law,frontier,1,en
RAG,26,9,24,0.923,13.193,cybersecurity,safety_research,1,en
걸친,26,9,24,0.923,13.193,guideline,safety_research,1,ko
Labs,26,9,24,0.923,13.193,cybersecurity,agentic_ai,1,en
거버넌스 프레임워크,26,9,24,0.923,13.193,safety_research,norms,2,ko
학습된,26,9,24,0.923,13.193,safety_research,guideline,1,ko
평가 지표,23,10,21,0.913,13.187,safety_research,standards,2,ko
마련하,23,10,21,0.913,13.187,frontier,agentic_ai,1,ko
의견수렴,23,10,21,0.913,13.187,law,guideline,1,ko
부여,23,10,21,0.913,13.187,agentic_ai,law,1,ko
데이터 유출,23,10,21,0.913,13.187,cybersecurity,agentic_ai,2,ko
SWE-bench Verified,23,10,21,0.913,13.187,frontier,agentic_ai,2,en
방향성,27,8,27,1.0,13.179,safety_research,national_security,1,ko
Deployment,30,8,28,0.933,13.179,agentic_ai,safety_research,1,en
모니터,22,11,19,0.864,13.175,frontier,cybersecurity,1,ko
클러스터,22,11,19,0.864,13.175,cybersecurity,norms,1,ko
교류,22,11,19,0.864,13.175,norms,national_security,1,ko
제출할,22,11,19,0.864,13.175,law,guideline,1,ko
리더,22,11,19,0.864,13.175,national_security,norms,1,ko
모범사례,22,11,19,0.864,13.175,guideline,standards,1,ko
AX,23,9,23,1.0,13.172,national_security,physical_ai,1,en
Trustworthy,25,12,18,0.72,13.17,norms,law,1,en
Standard,25,12,18,0.72,13.17,frontier,standards,1,en
분야에서,21,14,15,0.714,13.154,frontier,national_security,1,ko
chain-of-thought,28,10,22,0.786,13.15,frontier,safety_research,1,en
Test,28,10,22,0.786,13.15,frontier,cybersecurity,1,en
손해배상,34,8,29,0.853,13.142,law,frontier,1,ko
인지적,20,10,20,1.0,13.141,healthcare,politics,1,ko
시스템 개발,21,15,14,0.667,13.141,frontier,law,2,ko
전이,34,7,33,0.971,13.134,safety_research,frontier,1,ko
제기한,27,9,24,0.889,13.129,law,frontier,1,ko
complied,37,7,34,0.919,13.125,safety_research,frontier,1,en
관련 정보,22,14,15,0.682,13.123,law,frontier,2,ko
You,24,10,21,0.875,13.121,deepfake_disinfo,safety_research,1,en
자해,24,10,21,0.875,13.121,youth,frontier,1,ko
심리적,24,10,21,0.875,13.121,youth,law,1,ko
유용한,24,10,21,0.875,13.121,safety_research,law,1,ko
유럽의회,24,10,21,0.875,13.121,law,guideline,1,ko
협력 방안,20,12,17,0.85,13.119,norms,cybersecurity,2,ko
소통,20,12,17,0.85,13.119,agentic_ai,cybersecurity,1,ko
중요성 강조,23,11,19,0.826,13.116,national_security,safety_research,2,ko
나타났고,23,11,19,0.826,13.116,frontier,cybersecurity,1,ko
설명가능성,23,11,19,0.826,13.116,norms,safety_research,1,ko
